"practice_code","practice_name","postcode","subicb_code","non_white_popn","reg_popn","pct_non_white"
"A81001","THE DENSHAM SURGERY","TS18 1HU","16C",772.239530162738,4019,0.192147183419442
"A81002","QUEENS PARK MEDICAL CENTRE","TS18 2AW","16C",1392.42101144621,18284,0.0761551636100528
"A81004","ACKLAM MEDICAL CENTRE","TS5 8SB","16C",1752.14413471662,11209,0.156315829665145
"A81005","SPRINGWOOD SURGERY","TS14 7DJ","16C",137.838954537812,8032,0.0171612244195483
"A81006","TENNANT STREET MEDICAL PRACTICE","TS18 2AT","16C",1148.35569219084,14402,0.0797358486453851
"A81007","BANKHOUSE SURGERY","TS24 7PW","16C",397.116080633218,9912,0.0400641727838194
"A81009","VILLAGE MEDICAL CENTRE","TS5 6HF","16C",1666.06384116966,8217,0.20275816492268
"A81011","CHADWICK PRACTICE","TS24 7PW","16C",422.80520211268,11555,0.0365906708881592
"A81012","WESTBOURNE MEDICAL CENTRE","TS3 6AL","16C",776.99198711641,5234,0.148450895513261
"A81013","BROTTON SURGERY","TS12 2FF","16C",90.9327011622403,7186,0.0126541471141442
"A81014","QUEENSTREE PRACTICE","TS23 2LA","16C",112.928200283358,4141,0.0272707559245007
"A81016","PARK SURGERY","TS1 3QY","16C",3210.19599911438,11346,0.282936365160795
"A81017","WOODBRIDGE PRACTICE","TS17 0EE","16C",1781.24957922819,18871,0.0943908419918496
"A81018","BENTLEY MEDICAL PRACTICE","TS10 4NW","16C",231.63880787234,10208,0.0226918894859267
"A81019","CROSSFELL HEALTH CENTRE","TS3 7RL","16C",690.016754927311,8846,0.0780032506135327
"A81020","MARTONSIDE MEDICAL CENTRE","TS4 3BU","16C",1037.15763240516,7920,0.130954246515803
"A81021","NORMANBY MEDICAL CENTRE","TS6 6TD","16C",580.287234999899,13881,0.0418044258338664
"A81022","HILLSIDE PRACTICE","TS12 2TG","16C",123.278373326709,9601,0.0128401597048963
"A81023","THE ENDEAVOUR PRACTICE","TS1 2NX","16C",2411.44058686602,8911,0.270613913911573
"A81025","THE DOVECOT SURGERY","TS18 1HU","16C",710.966774741269,4347,0.163553433342827
"A81026","LINTHORPE SURGERY","TS5 6HA","16C",4333.11387277572,20112,0.215449178240639
"A81027","YARM MEDICAL PRACTICE","TS15 9DD","16C",1101.00997840944,15186,0.0725016448313869
"A81029","PROSPECT SURGERY","TS1 2NX","16C",2399.80612843466,7272,0.330006343294096
"A81030","BOROUGH ROAD & NUNTHORPE MEDICAL GROUP","TS1 3RY","16C",2521.67833006685,15071,0.167319907774325
